age,count
16-20,913
20-25,16538
25-30,91953
30-35,94279
35-40,62573
40-45,43821
45-50,33141
50-55,28468
55-60,15990
60-65,10326
65-70,3536
70-75,683
75-80,444
80-85,60
85-90,0
90-95,15
95-100,1
100+,278
